Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Boston Celtics*,64,18,0.78,â€”,120.6,109.2,10.75
New York Knicks*,50,32,0.61,14,112.8,108.2,4.36
Milwaukee Bucks*,49,33,0.598,15,119,116.4,2.44
Cleveland Cavaliers*,48,34,0.585,16,112.6,110.2,1.98
Orlando Magic*,47,35,0.573,17,110.5,108.4,1.48
Indiana Pacers*,47,35,0.573,17,123.3,120.2,2.75
Philadelphia 76ers*,47,35,0.573,17,114.6,111.5,2.51
Miami Heat*,46,36,0.561,18,110.1,108.4,1.1
Chicago Bulls,39,43,0.476,25,112.3,113.7,-1.77
Atlanta Hawks,36,46,0.439,28,118.3,120.5,-2.38
Brooklyn Nets,32,50,0.39,32,110.4,113.3,-3.02
Toronto Raptors,25,57,0.305,39,112.4,118.8,-6.45
Charlotte Hornets,21,61,0.256,43,106.6,116.8,-10.12
Washington Wizards,15,67,0.183,49,113.7,123,-9.29
Detroit Pistons,14,68,0.171,50,109.9,119,-9.06
