Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,'nan,'2-1,'2-1,'2-2,'4-0,'2-1,'0-2,'0-2,'1-3,'1-1,'0-2,'2-1,'0-2,'1-1,'1-1,'2-2,'3-2,'1-1,'2-0,'2-3,'0-2,'2-2,'3-0,'1-1,'0-2,'1-1,'0-2,'1-2,'2-0,'2-2
2,Boston Celtics,'1-2,'nan,'4-0,'3-1,'4-0,'2-2,'1-1,'2-0,'3-1,'1-1,'1-1,'1-2,'2-0,'1-1,'1-1,'3-1,'3-0,'2-0,'2-0,'4-0,'0-2,'1-2,'3-1,'2-0,'2-0,'1-1,'2-0,'3-1,'2-0,'4-0
3,Brooklyn Nets,'1-2,'0-4,'nan,'1-2,'3-1,'0-4,'1-1,'0-2,'0-3,'1-1,'2-0,'1-3,'0-2,'1-1,'2-1,'1-2,'3-1,'0-2,'2-0,'0-4,'0-2,'0-4,'2-2,'1-1,'1-1,'1-1,'0-2,'1-3,'0-2,'1-2
4,Chicago Bulls,'2-2,'1-3,'2-1,'nan,'3-1,'0-4,'0-2,'2-0,'1-3,'0-2,'0-2,'1-3,'1-1,'2-0,'1-1,'3-0,'2-2,'0-2,'0-2,'2-1,'0-2,'2-1,'2-2,'0-2,'1-1,'1-1,'2-0,'4-0,'1-1,'3-1
5,Charlotte Hornets,'0-4,'0-4,'1-3,'1-3,'nan,'0-4,'1-1,'0-2,'2-2,'0-2,'1-1,'2-1,'0-2,'1-1,'0-2,'1-3,'1-2,'0-2,'1-1,'1-2,'0-2,'0-4,'0-4,'1-1,'0-2,'0-2,'2-0,'1-2,'2-0,'0-4
6,Cleveland Cavaliers,'1-2,'2-2,'4-0,'4-0,'4-0,'nan,'2-0,'2-0,'3-1,'2-0,'0-2,'1-3,'1-1,'2-0,'2-0,'2-1,'4-0,'2-0,'2-0,'4-0,'1-1,'2-1,'2-1,'1-1,'2-0,'0-2,'2-0,'4-0,'2-0,'4-0
7,Dallas Mavericks,'2-0,'1-1,'1-1,'2-0,'1-1,'0-2,'nan,'1-3,'1-1,'2-2,'1-3,'0-2,'1-3,'1-2,'1-3,'1-1,'0-2,'1-2,'3-1,'1-1,'3-1,'2-0,'0-2,'1-3,'3-1,'0-3,'3-1,'2-0,'2-1,'2-0
8,Denver Nuggets,'2-0,'0-2,'2-0,'0-2,'2-0,'0-2,'3-1,'nan,'2-0,'2-1,'2-1,'1-1,'2-2,'2-2,'2-1,'2-0,'1-1,'0-4,'3-1,'0-2,'2-2,'2-0,'2-0,'3-1,'2-2,'4-0,'1-2,'2-0,'4-0,'0-2
9,Detroit Pistons,'3-1,'1-3,'3-0,'3-1,'2-2,'1-3,'1-1,'0-2,'nan,'0-2,'1-1,'1-3,'1-1,'2-0,'0-2,'3-1,'0-4,'1-1,'2-0,'3-1,'0-2,'1-2,'2-1,'1-1,'2-0,'1-1,'2-0,'4-0,'1-1,'2-1
10,Golden State Warriors,'1-1,'1-1,'1-1,'2-0,'2-0,'0-2,'2-2,'1-2,'2-0,'nan,'3-2,'0-2,'0-4,'1-3,'3-1,'0-2,'2-0,'3-1,'4-0,'2-0,'2-1,'2-0,'1-1,'2-2,'3-0,'2-2,'1-2,'1-1,'2-1,'2-0
11,Houston Rockets,'2-0,'1-1,'0-2,'2-0,'1-1,'2-0,'3-1,'1-2,'1-1,'2-3,'nan,'1-1,'3-1,'1-2,'3-1,'1-1,'1-1,'2-2,'4-0,'1-1,'2-3,'2-0,'2-0,'3-0,'2-1,'0-3,'3-1,'2-0,'2-1,'2-0
12,Indiana Pacers,'1-2,'2-1,'3-1,'3-1,'1-2,'3-1,'2-0,'1-1,'3-1,'2-0,'1-1,'nan,'2-0,'0-2,'1-1,'2-2,'1-3,'2-0,'2-1,'1-2,'0-2,'1-3,'3-1,'2-0,'1-1,'2-0,'1-1,'1-2,'2-0,'4-0
13,Los Angeles Clippers,'2-0,'0-2,'2-0,'1-1,'2-0,'1-1,'3-1,'2-2,'1-1,'4-0,'1-3,'0-2,'nan,'1-3,'3-0,'2-0,'1-1,'0-3,'2-1,'2-0,'0-4,'2-0,'2-0,'0-4,'2-1,'4-0,'3-1,'1-1,'4-0,'2-0
14,Los Angeles Lakers,'1-1,'1-1,'1-1,'0-2,'1-1,'0-2,'2-1,'2-2,'0-2,'3-1,'2-1,'2-0,'3-1,'nan,'3-1,'1-1,'0-2,'2-2,'3-0,'2-0,'1-2,'0-2,'1-1,'2-2,'3-1,'4-0,'3-1,'2-0,'3-1,'2-0
15,Memphis Grizzlies,'1-1,'1-1,'1-2,'1-1,'2-0,'0-2,'3-1,'1-2,'2-0,'1-3,'1-3,'1-1,'0-3,'1-3,'nan,'2-0,'2-0,'2-1,'4-0,'0-2,'0-4,'2-0,'2-0,'4-0,'2-1,'1-2,'3-1,'2-0,'4-0,'2-0
16,Miami Heat,'2-2,'1-3,'2-1,'0-3,'3-1,'1-2,'1-1,'0-2,'1-3,'2-0,'1-1,'2-2,'0-2,'1-1,'0-2,'nan,'0-4,'1-1,'2-0,'0-3,'0-2,'2-2,'4-0,'1-1,'1-1,'0-2,'2-0,'3-1,'1-1,'3-1
17,Milwaukee Bucks,'2-3,'0-3,'1-3,'2-2,'2-1,'0-4,'2-0,'1-1,'4-0,'0-2,'1-1,'3-1,'1-1,'2-0,'0-2,'4-0,'nan,'2-0,'2-0,'0-3,'0-2,'3-1,'4-0,'1-1,'0-2,'2-0,'1-1,'3-0,'2-0,'3-0
18,Minnesota Timberwolves,'1-1,'0-2,'2-0,'2-0,'2-0,'0-2,'2-1,'4-0,'1-1,'1-3,'2-2,'0-2,'3-0,'2-2,'1-2,'1-1,'0-2,'nan,'2-1,'1-1,'2-2,'2-0,'2-0,'4-0,'2-2,'2-2,'3-1,'1-1,'3-1,'1-1
19,New Orleans Pelicans,'0-2,'0-2,'0-2,'2-0,'1-1,'0-2,'1-3,'1-3,'0-2,'0-4,'0-4,'1-2,'1-2,'0-3,'0-4,'0-2,'0-2,'1-2,'nan,'0-2,'0-4,'0-2,'2-0,'2-1,'1-3,'1-3,'2-2,'0-2,'3-0,'2-0
20,New York Knicks,'3-2,'0-4,'4-0,'1-2,'2-1,'0-4,'1-1,'2-0,'1-3,'0-2,'1-1,'2-1,'0-2,'0-2,'2-0,'3-0,'3-0,'1-1,'2-0,'nan,'0-2,'3-1,'4-0,'2-0,'2-0,'2-0,'1-1,'4-0,'1-1,'4-0
21,Oklahoma City Thunder,'2-0,'2-0,'2-0,'2-0,'2-0,'1-1,'1-3,'2-2,'2-0,'1-2,'3-2,'2-0,'4-0,'2-1,'4-0,'2-0,'2-0,'2-2,'4-0,'2-0,'nan,'2-0,'2-0,'3-0,'4-0,'3-0,'2-1,'2-0,'4-0,'2-0
22,Orlando Magic,'2-2,'2-1,'4-0,'1-2,'4-0,'1-2,'0-2,'0-2,'2-1,'0-2,'0-2,'3-1,'0-2,'2-0,'0-2,'2-2,'1-3,'0-2,'2-0,'1-3,'0-2,'nan,'3-1,'2-0,'0-2,'2-0,'2-0,'1-3,'0-2,'4-0
23,Philadelphia 76ers,'0-3,'1-3,'2-2,'2-2,'4-0,'1-2,'2-0,'0-2,'1-2,'1-1,'0-2,'1-3,'0-2,'1-1,'0-2,'0-4,'0-4,'0-2,'0-2,'0-4,'0-2,'1-3,'nan,'0-2,'1-1,'1-1,'1-1,'0-4,'2-0,'2-1
24,Phoenix Suns,'1-1,'0-2,'1-1,'2-0,'1-1,'1-1,'3-1,'1-3,'1-1,'2-2,'0-3,'0-2,'4-0,'2-2,'0-4,'1-1,'1-1,'0-4,'1-2,'0-2,'0-3,'0-2,'2-0,'nan,'2-2,'1-3,'2-1,'1-1,'4-0,'2-0
25,Portland Trail Blazers,'2-0,'0-2,'1-1,'1-1,'2-0,'0-2,'1-3,'2-2,'0-2,'0-3,'1-2,'1-1,'1-2,'1-3,'1-2,'1-1,'2-0,'2-2,'3-1,'0-2,'0-4,'2-0,'1-1,'2-2,'nan,'2-2,'1-3,'2-0,'2-2,'2-0
26,Sacramento Kings,'1-1,'1-1,'1-1,'1-1,'2-0,'2-0,'3-0,'0-4,'1-1,'2-2,'3-0,'0-2,'0-4,'0-4,'2-1,'2-0,'0-2,'2-2,'3-1,'0-2,'0-3,'0-2,'1-1,'3-1,'2-2,'nan,'2-2,'1-1,'4-0,'1-1
27,San Antonio Spurs,'2-0,'0-2,'2-0,'0-2,'0-2,'0-2,'1-3,'2-1,'0-2,'2-1,'1-3,'1-1,'1-3,'1-3,'1-3,'0-2,'1-1,'1-3,'2-2,'1-1,'1-2,'0-2,'1-1,'1-2,'3-1,'2-2,'nan,'2-0,'3-1,'2-0
28,Toronto Raptors,'2-1,'1-3,'3-1,'0-4,'2-1,'0-4,'0-2,'0-2,'0-4,'1-1,'0-2,'2-1,'1-1,'0-2,'0-2,'1-3,'0-3,'1-1,'2-0,'0-4,'0-2,'3-1,'4-0,'1-1,'0-2,'1-1,'0-2,'nan,'2-0,'3-1
29,Utah Jazz,'0-2,'0-2,'2-0,'1-1,'0-2,'0-2,'1-2,'0-4,'1-1,'1-2,'1-2,'0-2,'0-4,'1-3,'0-4,'1-1,'0-2,'1-3,'0-3,'1-1,'0-4,'2-0,'0-2,'0-4,'2-2,'0-4,'1-3,'0-2,'nan,'1-1
30,Washington Wizards,'2-2,'0-4,'2-1,'1-3,'4-0,'0-4,'0-2,'2-0,'1-2,'0-2,'0-2,'0-4,'0-2,'0-2,'0-2,'1-3,'0-3,'1-1,'0-2,'0-4,'0-2,'0-4,'1-2,'0-2,'0-2,'1-1,'0-2,'1-3,'1-1,'nan
